video_id,clip_count
-egA8-b7-3M,9
-s9qJ7ATP7w,7
-wny0OAz3g8,7
-mJ2ud6oKI8,5
-iRBcNs9oI8,5
-tPCytz4rww,5
-dxfTGcXJoc,4
-UuX1xuaiiE,4
-HwX2H8Z4hY,4
-3g5yACwYnA,4
-RfYyzHpjk4,3
-yRb-Jum7EQ,3
-9y-fZ3swSY,3
-MeTTeMJBNc,3
-THoVjtIkeU,3
-ri04Z7vwnc,3
-571d8cVauQ,2
-hnBHBN8p5A,2
-t217m2on-s,2
-NFrJFQijFE,2
-I_e4mIh0yE,2
-UacrmKiTn4,2
-lzEya4AM_4,2
-6rXp3zJ3kc,1
-3nNcZdcdvU,1
-AUZQgSxyPQ,1
-HeZS2-Prhc,1
-UUCSKoHeMA,1
-a55Q6RWvTA,1
-aNfi7CP8vM,1
-aqamKhZ1Ec,1
-mqbVkbCndg,1
-qDkUB0GgYY,1
-uywlfIYOS8,1
-tANM6ETl_M,1
-wMB_hJL-3o,1
-vxjVxOeScU,1
