count,mean,std,min,p05,p25,median,p75,p95,max,skewness,version,split,metric
727,19.932599724896836,12.606176156370612,2.0,6.0,12.0,17.0,25.0,41.69999999999993,118.0,2.142287922091392,aligned,test,text_word_len
3395,19.408541973490426,13.748577136531841,1.0,5.0,11.0,17.0,24.0,43.0,307.0,5.196998184371053,aligned,train,text_word_len
728,20.2760989010989,15.64806557405735,1.0,6.0,12.0,17.0,25.0,41.64999999999998,309.0,9.193345184691642,aligned,valid,text_word_len
727,25.184319119669876,11.853722230853192,4.0,9.0,16.0,23.0,32.0,50.0,50.0,0.5994749603269076,aligned,test,text_bert_valid_len
3395,24.645655375552284,12.06819995676254,3.0,8.0,16.0,22.0,32.0,50.0,50.0,0.6348433155359816,aligned,train,text_bert_valid_len
728,25.587912087912088,11.659098556797032,3.0,9.0,17.0,23.5,33.0,50.0,50.0,0.5633371503704755,aligned,valid,text_bert_valid_len
727,24.184319119669876,11.853722230853192,3.0,8.0,15.0,22.0,31.0,49.0,49.0,0.5994749603269076,aligned,test,audio_valid_length
3395,23.645655375552284,12.06819995676254,2.0,7.0,15.0,21.0,31.0,49.0,49.0,0.6348433155359816,aligned,train,audio_valid_length
728,24.587912087912088,11.659098556797032,2.0,8.0,16.0,22.5,32.0,49.0,49.0,0.5633371503704755,aligned,valid,audio_valid_length
727,23.23933975240715,12.49629132785376,0.0,5.300000000000004,14.0,21.0,31.0,49.0,49.0,0.4269427523556806,aligned,test,vision_valid_length
3395,22.868630338733432,12.661067261166206,0.0,5.0,14.0,21.0,30.0,49.0,49.0,0.5009083074078902,aligned,train,vision_valid_length
728,23.798076923076923,12.10844526977868,0.0,7.0,15.0,22.0,31.0,49.0,49.0,0.43623840209251136,aligned,valid,vision_valid_length
727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aligned,test,audio_internal_zero_steps
3395,0.01914580265095729,0.5799181098117943,0.0,0.0,0.0,0.0,0.0,0.0,22.0,31.923588633382703,aligned,train,audio_internal_zero_steps
728,0.06318681318681318,1.7037020963867784,0.0,0.0,0.0,0.0,0.0,0.0,46.0,26.925849578347893,aligned,valid,audio_internal_zero_steps
727,0.5020632737276479,2.5923777025744608,0.0,0.0,0.0,0.0,0.0,2.0,34.0,7.222824118346397,aligned,test,vision_internal_zero_steps
3395,0.5069219440353461,2.631103596737386,0.0,0.0,0.0,0.0,0.0,3.0,45.0,7.436151575296848,aligned,train,vision_internal_zero_steps
728,0.5769230769230769,2.9727915220619288,0.0,0.0,0.0,0.0,0.0,3.0,44.0,8.552899115588671,aligned,valid,vision_internal_zero_steps
