count,mean,std,min,p05,p25,median,p75,p95,max,skewness,version,split,metric
727,19.932599724896836,12.606176156370612,2.0,6.0,12.0,17.0,25.0,41.69999999999993,118.0,2.142287922091392,unaligned,test,text_word_len
3395,19.408541973490426,13.748577136531841,1.0,5.0,11.0,17.0,24.0,43.0,307.0,5.196998184371053,unaligned,train,text_word_len
728,20.2760989010989,15.64806557405735,1.0,6.0,12.0,17.0,25.0,41.64999999999998,309.0,9.193345184691642,unaligned,valid,text_word_len
727,25.184319119669876,11.853722230853192,4.0,9.0,16.0,23.0,32.0,50.0,50.0,0.5994749603269076,unaligned,test,text_bert_valid_len
3395,24.645655375552284,12.06819995676254,3.0,8.0,16.0,22.0,32.0,50.0,50.0,0.6348433155359816,unaligned,train,text_bert_valid_len
728,25.587912087912088,11.659098556797032,3.0,9.0,17.0,23.5,33.0,50.0,50.0,0.5633371503704755,unaligned,valid,text_bert_valid_len
727,155.87757909215955,95.11880723100873,23.0,48.0,91.0,135.0,190.0,340.49999999999966,500.0,1.5345072572450424,unaligned,test,audio_valid_length
3395,147.28836524300442,87.91584657872846,8.0,46.0,86.0,127.0,183.0,327.0,500.0,1.4669791818428255,unaligned,train,audio_valid_length
728,154.11263736263737,82.28387244456164,12.0,53.35,98.75,138.0,189.25,312.54999999999984,500.0,1.4959955972981647,unaligned,valid,audio_valid_length
727,97.11004126547455,72.54238619340961,1.0,2.3000000000000043,49.0,83.0,126.0,236.0,456.0,1.5067394972436003,unaligned,test,vision_valid_length
3395,93.25036818851252,70.09896893230696,1.0,2.700000000000017,45.0,82.0,124.0,225.0,500.0,1.4536459926508487,unaligned,train,vision_valid_length
728,98.6923076923077,65.85766658879368,1.0,5.0,55.0,90.0,133.0,213.29999999999995,500.0,1.1701488119928294,unaligned,valid,vision_valid_length
727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unaligned,test,audio_internal_zero_steps
3395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unaligned,train,audio_internal_zero_steps
728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unaligned,valid,audio_internal_zero_steps
727,0.011004126547455296,0.10432178941325193,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.374760080379295,unaligned,test,vision_internal_zero_steps
3395,0.008836524300441826,0.09358653823456409,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.496455686148211,unaligned,train,vision_internal_zero_steps
728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unaligned,valid,vision_internal_zero_steps
