version,split,field,shape,dtype,ndim
aligned,train,raw_text,3395,<U1662,1
aligned,train,audio,3395x50x74,float64,3
aligned,train,vision,3395x50x35,float64,3
aligned,train,id,3395,<U16,1
aligned,train,text_bert,3395x3x50,int64,3
aligned,train,classification_labels,3395,float64,1
aligned,train,regression_labels,3395,float64,1
aligned,train,text,3395x50x768,float32,3
aligned,valid,raw_text,728,<U1570,1
aligned,valid,audio,728x50x74,float64,3
aligned,valid,vision,728x50x35,float64,3
aligned,valid,id,728,<U16,1
aligned,valid,text_bert,728x3x50,int64,3
aligned,valid,classification_labels,728,float64,1
aligned,valid,regression_labels,728,float64,1
aligned,valid,text,728x50x768,float32,3
aligned,test,raw_text,727,<U1479,1
aligned,test,audio,727x50x74,float64,3
aligned,test,vision,727x50x35,float64,3
aligned,test,id,727,<U16,1
aligned,test,text_bert,727x3x50,int64,3
aligned,test,classification_labels,727,float64,1
aligned,test,regression_labels,727,float64,1
aligned,test,text,727x50x768,float32,3
