version,split,field,shape,dtype,ndim
unaligned,train,raw_text,3395,<U1662,1
unaligned,train,audio,3395x500x74,float64,3
unaligned,train,vision,3395x500x35,float64,3
unaligned,train,id,3395,<U16,1
unaligned,train,text_bert,3395x3x50,int64,3
unaligned,train,classification_labels,3395,float64,1
unaligned,train,regression_labels,3395,float64,1
unaligned,train,text,3395x50x768,float32,3
unaligned,train,audio_lengths,3395,int64,1
unaligned,train,vision_lengths,3395,int64,1
unaligned,valid,raw_text,728,<U1570,1
unaligned,valid,audio,728x500x74,float64,3
unaligned,valid,vision,728x500x35,float64,3
unaligned,valid,id,728,<U16,1
unaligned,valid,text_bert,728x3x50,int64,3
unaligned,valid,classification_labels,728,float64,1
unaligned,valid,regression_labels,728,float64,1
unaligned,valid,text,728x50x768,float32,3
unaligned,valid,audio_lengths,728,int64,1
unaligned,valid,vision_lengths,728,int64,1
unaligned,test,raw_text,727,<U1479,1
unaligned,test,audio,727x500x74,float64,3
unaligned,test,vision,727x500x35,float64,3
unaligned,test,id,727,<U16,1
unaligned,test,text_bert,727x3x50,int64,3
unaligned,test,classification_labels,727,float64,1
unaligned,test,regression_labels,727,float64,1
unaligned,test,text,727x50x768,float32,3
unaligned,test,audio_lengths,727,int64,1
unaligned,test,vision_lengths,727,int64,1
