version,file_name,matched_id,modality,detection,start,end,length,valid_length,relative_start,relative_length
aligned,aligned_version_02.pkl,,audio,heuristic_internal_zeros,2,2,1,29,0.06896551724137931,0.034482758620689655
aligned,aligned_version_02.pkl,,audio,heuristic_internal_zeros,5,5,1,29,0.1724137931034483,0.034482758620689655
aligned,aligned_version_02.pkl,,audio,heuristic_internal_zeros,7,7,1,29,0.2413793103448276,0.034482758620689655
aligned,aligned_version_02.pkl,,audio,heuristic_internal_zeros,9,10,2,29,0.3103448275862069,0.06896551724137931
aligned,aligned_version_02.pkl,,vision,heuristic_internal_zeros,2,2,1,29,0.06896551724137931,0.034482758620689655
aligned,aligned_version_02.pkl,,vision,heuristic_internal_zeros,5,5,1,29,0.1724137931034483,0.034482758620689655
aligned,aligned_version_02.pkl,,vision,heuristic_internal_zeros,7,7,1,29,0.2413793103448276,0.034482758620689655
aligned,aligned_version_02.pkl,,vision,heuristic_internal_zeros,9,10,2,29,0.3103448275862069,0.06896551724137931
aligned,aligned_version_03.pkl,,audio,heuristic_internal_zeros,6,6,1,33,0.18181818181818182,0.030303030303030304
aligned,aligned_version_03.pkl,,audio,heuristic_internal_zeros,16,16,1,33,0.48484848484848486,0.030303030303030304
aligned,aligned_version_03.pkl,,audio,heuristic_internal_zeros,20,20,1,33,0.6060606060606061,0.030303030303030304
aligned,aligned_version_03.pkl,,audio,heuristic_internal_zeros,23,23,1,33,0.696969696969697,0.030303030303030304
aligned,aligned_version_03.pkl,,audio,heuristic_internal_zeros,31,31,1,33,0.9393939393939394,0.030303030303030304
aligned,aligned_version_03.pkl,,vision,heuristic_internal_zeros,6,6,1,33,0.18181818181818182,0.030303030303030304
aligned,aligned_version_03.pkl,,vision,heuristic_internal_zeros,16,16,1,33,0.48484848484848486,0.030303030303030304
aligned,aligned_version_03.pkl,,vision,heuristic_internal_zeros,20,21,2,33,0.6060606060606061,0.06060606060606061
aligned,aligned_version_03.pkl,,vision,heuristic_internal_zeros,23,26,4,33,0.696969696969697,0.12121212121212122
aligned,aligned_version_03.pkl,,vision,heuristic_internal_zeros,31,31,1,33,0.9393939393939394,0.030303030303030304
aligned,aligned_version_04.pkl,,audio,heuristic_internal_zeros,6,6,1,32,0.1875,0.03125
aligned,aligned_version_04.pkl,,audio,heuristic_internal_zeros,8,8,1,32,0.25,0.03125
aligned,aligned_version_04.pkl,,vision,heuristic_internal_zeros,6,6,1,32,0.1875,0.03125
aligned,aligned_version_04.pkl,,vision,heuristic_internal_zeros,8,8,1,32,0.25,0.03125
aligned,aligned_version_06.pkl,,audio,heuristic_internal_zeros,14,14,1,25,0.56,0.04
aligned,aligned_version_06.pkl,,audio,heuristic_internal_zeros,17,17,1,25,0.68,0.04
aligned,aligned_version_06.pkl,,vision,heuristic_internal_zeros,14,14,1,25,0.56,0.04
aligned,aligned_version_06.pkl,,vision,heuristic_internal_zeros,17,17,1,25,0.68,0.04
aligned,aligned_version_07.pkl,,audio,heuristic_internal_zeros,10,10,1,22,0.45454545454545453,0.045454545454545456
aligned,aligned_version_07.pkl,,audio,heuristic_internal_zeros,12,12,1,22,0.5454545454545454,0.045454545454545456
aligned,aligned_version_07.pkl,,audio,heuristic_internal_zeros,14,14,1,22,0.6363636363636364,0.045454545454545456
aligned,aligned_version_07.pkl,,vision,heuristic_internal_zeros,10,10,1,22,0.45454545454545453,0.045454545454545456
