file_stem,aligned_md5,unaligned_md5,videos_identical
01,da9734c58f1f758e5cd771b69df9fe99,da9734c58f1f758e5cd771b69df9fe99,True
02,5bdfef5938e5f6ac895ae7fd489acc33,5bdfef5938e5f6ac895ae7fd489acc33,True
03,ef9a705bcaf1e3b4b5e0bb9c735de19c,ef9a705bcaf1e3b4b5e0bb9c735de19c,True
04,2311a1491a84f859c1e116395a3e5ead,2311a1491a84f859c1e116395a3e5ead,True
05,221655d0ef96777bf9f1ccfa93595102,221655d0ef96777bf9f1ccfa93595102,True
06,d242f99468c2574d001ff772f1fa6ee0,d242f99468c2574d001ff772f1fa6ee0,True
07,2e9c4208ca68e917bbe8f4e57a037f62,2e9c4208ca68e917bbe8f4e57a037f62,True
08,4ca1b3490e06af09ffaa9cfad02ef679,4ca1b3490e06af09ffaa9cfad02ef679,True
09,0cd9a9218d2bba732967d026050f8f9c,0cd9a9218d2bba732967d026050f8f9c,True
10,eb89ffc7ade1e8bb28a43ac0c68263fc,eb89ffc7ade1e8bb28a43ac0c68263fc,True
11,ccef06e03d835e8694533524960ac688,ccef06e03d835e8694533524960ac688,True
12,95ef6c7acecdbbbb992ea4c08787f52d,95ef6c7acecdbbbb992ea4c08787f52d,True
13,759e0bd11c14d4944240307c8632f72d,759e0bd11c14d4944240307c8632f72d,True
14,64990dd2cb09fd6792ad01c3a5ec8150,64990dd2cb09fd6792ad01c3a5ec8150,True
15,766be59620f4f1c6b1be2500485e391d,766be59620f4f1c6b1be2500485e391d,True
16,bee18550f15e1eaa33fa0fd60c12ec3f,bee18550f15e1eaa33fa0fd60c12ec3f,True
17,51456ae7a592357e0737736d68145291,51456ae7a592357e0737736d68145291,True
18,31624ad8c4230f8b445e2c0bf8d92be0,31624ad8c4230f8b445e2c0bf8d92be0,True
19,399f971300b4e235b857b94c521d5ba7,399f971300b4e235b857b94c521d5ba7,True
20,738db66e1c64d22daff379c0b43494d6,738db66e1c64d22daff379c0b43494d6,True
