version,file_stem,file_size_mb,md5,readable,width,height,fps,frame_count,duration_sec,codec,sampled_brightness_mean
aligned,01,0.7858476638793945,da9734c58f1f758e5cd771b69df9fe99,True,1280,720,30.0,270,9.0,h264,54.81777126736111
aligned,02,0.1357421875,5bdfef5938e5f6ac895ae7fd489acc33,True,480,360,30.0,108,3.6,h264,119.86438464506172
aligned,03,2.8358306884765625,ef9a705bcaf1e3b4b5e0bb9c735de19c,True,1280,720,30.0,480,16.0,h264,176.52958496093748
aligned,04,1.1452150344848633,2311a1491a84f859c1e116395a3e5ead,True,1280,720,30.0,277,9.233333333333333,h264,151.883203125
aligned,05,0.797332763671875,221655d0ef96777bf9f1ccfa93595102,True,1280,720,30.0,183,6.1,h264,49.04124059606482
aligned,06,0.6085643768310547,d242f99468c2574d001ff772f1fa6ee0,True,480,360,30.0,292,9.733333333333333,h264,143.0300173611111
aligned,07,3.3944196701049805,2e9c4208ca68e917bbe8f4e57a037f62,True,1280,720,30.0,723,24.1,h264,172.68064615885416
aligned,08,0.9791154861450195,4ca1b3490e06af09ffaa9cfad02ef679,True,1280,720,30.0,239,7.966666666666667,h264,116.8104541015625
aligned,09,0.7071533203125,0cd9a9218d2bba732967d026050f8f9c,True,480,360,30.0,339,11.3,h264,105.97170717592593
aligned,10,0.7472734451293945,eb89ffc7ade1e8bb28a43ac0c68263fc,True,480,360,30.0,325,10.833333333333334,h264,87.98375192901234
aligned,11,0.6414937973022461,ccef06e03d835e8694533524960ac688,True,480,360,30.0,342,11.4,h264,117.2187326388889
aligned,12,2.1296567916870117,95ef6c7acecdbbbb992ea4c08787f52d,True,1280,720,30.0,609,20.3,h264,75.11086751302084
aligned,13,0.2504110336303711,759e0bd11c14d4944240307c8632f72d,True,640,360,30.0,260,8.666666666666666,h264,89.58273871527778
aligned,14,2.1524438858032227,64990dd2cb09fd6792ad01c3a5ec8150,True,1280,720,30.0,415,13.833333333333334,h264,138.97151638454864
aligned,15,0.6730508804321289,766be59620f4f1c6b1be2500485e391d,True,1280,720,30.0,220,7.333333333333333,h264,117.39694769965278
aligned,16,0.21637344360351562,bee18550f15e1eaa33fa0fd60c12ec3f,True,480,360,30.0,167,5.566666666666666,h264,95.13028935185184
aligned,17,1.8614873886108398,51456ae7a592357e0737736d68145291,True,1280,720,30.0,419,13.966666666666667,h264,109.05570746527778
aligned,18,2.1580991744995117,31624ad8c4230f8b445e2c0bf8d92be0,True,1280,720,30.0,686,22.866666666666667,h264,123.79989474826388
aligned,19,1.0406131744384766,399f971300b4e235b857b94c521d5ba7,True,1280,720,30.0,561,18.7,h264,88.61652777777778
aligned,20,0.9264249801635742,738db66e1c64d22daff379c0b43494d6,True,360,360,30.0,561,18.7,h264,108.67606481481482
unaligned,01,0.7858476638793945,da9734c58f1f758e5cd771b69df9fe99,True,1280,720,30.0,270,9.0,h264,54.81777126736111
unaligned,02,0.1357421875,5bdfef5938e5f6ac895ae7fd489acc33,True,480,360,30.0,108,3.6,h264,119.86438464506172
unaligned,03,2.8358306884765625,ef9a705bcaf1e3b4b5e0bb9c735de19c,True,1280,720,30.0,480,16.0,h264,176.52958496093748
unaligned,04,1.1452150344848633,2311a1491a84f859c1e116395a3e5ead,True,1280,720,30.0,277,9.233333333333333,h264,151.883203125
unaligned,05,0.797332763671875,221655d0ef96777bf9f1ccfa93595102,True,1280,720,30.0,183,6.1,h264,49.04124059606482
unaligned,06,0.6085643768310547,d242f99468c2574d001ff772f1fa6ee0,True,480,360,30.0,292,9.733333333333333,h264,143.0300173611111
unaligned,07,3.3944196701049805,2e9c4208ca68e917bbe8f4e57a037f62,True,1280,720,30.0,723,24.1,h264,172.68064615885416
unaligned,08,0.9791154861450195,4ca1b3490e06af09ffaa9cfad02ef679,True,1280,720,30.0,239,7.966666666666667,h264,116.8104541015625
unaligned,09,0.7071533203125,0cd9a9218d2bba732967d026050f8f9c,True,480,360,30.0,339,11.3,h264,105.97170717592593
unaligned,10,0.7472734451293945,eb89ffc7ade1e8bb28a43ac0c68263fc,True,480,360,30.0,325,10.833333333333334,h264,87.98375192901234
unaligned,11,0.6414937973022461,ccef06e03d835e8694533524960ac688,True,480,360,30.0,342,11.4,h264,117.2187326388889
unaligned,12,2.1296567916870117,95ef6c7acecdbbbb992ea4c08787f52d,True,1280,720,30.0,609,20.3,h264,75.11086751302084
unaligned,13,0.2504110336303711,759e0bd11c14d4944240307c8632f72d,True,640,360,30.0,260,8.666666666666666,h264,89.58273871527778
unaligned,14,2.1524438858032227,64990dd2cb09fd6792ad01c3a5ec8150,True,1280,720,30.0,415,13.833333333333334,h264,138.97151638454864
unaligned,15,0.6730508804321289,766be59620f4f1c6b1be2500485e391d,True,1280,720,30.0,220,7.333333333333333,h264,117.39694769965278
unaligned,16,0.21637344360351562,bee18550f15e1eaa33fa0fd60c12ec3f,True,480,360,30.0,167,5.566666666666666,h264,95.13028935185184
unaligned,17,1.8614873886108398,51456ae7a592357e0737736d68145291,True,1280,720,30.0,419,13.966666666666667,h264,109.05570746527778
unaligned,18,2.1580991744995117,31624ad8c4230f8b445e2c0bf8d92be0,True,1280,720,30.0,686,22.866666666666667,h264,123.79989474826388
unaligned,19,1.0406131744384766,399f971300b4e235b857b94c521d5ba7,True,1280,720,30.0,561,18.7,h264,88.61652777777778
unaligned,20,0.9264249801635742,738db66e1c64d22daff379c0b43494d6,True,360,360,30.0,561,18.7,h264,108.67606481481482
