sample_id,status,label_reg,label_cls,consensus_steps,iterations,converged,objective,mean_uncertainty,raw_max_marginal_residual,sinkhorn_converged,max_marginal_residual,monotonic_violations,elapsed_sec,error
-3g5yACwYnA$_$13,resumed,0.6666666865348816,2,12,3,True,1.8398950489207087,0.31350234705467067,9.932481876350624e-05,True,2.9133502103026168e-15,0,0.0023,
-3g5yACwYnA$_$2,resumed,0.0,1,20,6,True,1.9498361902520747,0.2615962050527979,9.986294224559322e-05,True,2.329525205724904e-15,0,0.0032,
-3g5yACwYnA$_$3,resumed,0.0,1,30,5,True,1.550985093137612,0.251140174707153,9.975817098031164e-05,True,2.585906082280545e-15,0,0.0023,
-3g5yACwYnA$_$9,resumed,0.6666666865348816,2,19,4,True,1.986196106189893,0.2929803542961611,9.973404343753978e-05,True,2.357434925905369e-15,0,0.0024,
-3nNcZdcdvU$_$5,resumed,0.0,1,17,5,True,2.598940392387835,0.29793086495664634,9.944269409690315e-05,True,1.849746105968458e-15,0,0.0038,
-571d8cVauQ$_$0,resumed,0.0,1,12,4,True,2.3288864755353007,0.28912168412629796,9.91554487629609e-05,True,3.063557314531186e-15,0,0.004,
-571d8cVauQ$_$5,resumed,0.3333333432674408,2,32,4,True,1.4893710247430507,0.25838805204081094,9.988717966069594e-05,True,2.3126924997071118e-15,0,0.004,
-6rXp3zJ3kc$_$8,resumed,-1.0,0,27,5,True,2.026711007710606,0.28040091248481497,9.951463692861942e-05,True,1.4818040394782795e-15,0,0.006,
-9y-fZ3swSY$_$0,resumed,1.0,2,15,4,True,1.883901431182181,0.33361946742125226,9.981707564306157e-05,True,1.49798849558052e-15,0,0.004,
-9y-fZ3swSY$_$4,resumed,0.0,1,7,3,True,1.7981886805943152,0.35573313842631904,9.915648470541077e-05,True,3.4610276018164775e-15,0,0.0028,
-9y-fZ3swSY$_$8,resumed,1.6666666269302368,2,11,4,True,1.921636563751221,0.3205308645109639,9.924061457542571e-05,True,2.166755469707659e-15,0,0.0088,
-AUZQgSxyPQ$_$2,resumed,0.6666666865348816,2,46,5,True,1.7502264140933264,0.23162960911528963,9.997834805726066e-05,True,1.0755285551056204e-16,0,0.0058,
-HeZS2-Prhc$_$2,resumed,0.6666666865348816,2,18,5,True,1.9625584155226237,0.2811268707013632,9.990164385929087e-05,True,1.7506547639528176e-15,0,0.0051,
-HwX2H8Z4hY$_$2,resumed,0.0,1,9,3,True,1.6355944639620867,0.3290489947680347,9.969701951646759e-05,True,2.8604743757930905e-15,0,0.0056,
-HwX2H8Z4hY$_$5,resumed,-1.0,0,13,3,True,1.7227954599605841,0.30064457406026,9.925282477573488e-05,True,2.0816681711721685e-16,0,0.0051,
-HwX2H8Z4hY$_$6,resumed,0.0,1,8,3,True,1.6530960663852141,0.301365607487325,9.938230943935811e-05,True,5.551115123125783e-17,0,0.0083,
-HwX2H8Z4hY$_$9,resumed,-0.3333333432674408,0,17,5,True,1.454085590632336,0.3128592391156095,9.962995089375995e-05,True,1.458509729480507e-15,0,0.0094,
-I_e4mIh0yE$_$1,resumed,-0.6666666865348816,0,17,4,True,2.350110275249415,0.294418988183479,9.899818420186501e-05,True,1.700468788303521e-15,0,0.0059,
-I_e4mIh0yE$_$3,resumed,0.6666666865348816,2,20,5,True,2.015767763855185,0.2932914286170643,9.916344168022732e-05,True,1.79666511065419e-15,0,0.0074,
-MeTTeMJBNc$_$0,resumed,0.3333333432674408,2,20,5,True,2.4110093611247825,0.29237104666766955,9.973138185188218e-05,True,1.6888469484089945e-15,0,0.0058,
-MeTTeMJBNc$_$13,resumed,0.3333333432674408,2,12,4,True,2.707186953242169,0.33826126300286985,9.977044758489872e-05,True,1.910693673832958e-15,0,0.0086,
-MeTTeMJBNc$_$7,resumed,1.3333333730697632,2,22,4,True,2.496467595030773,0.29846132945148773,9.998843436500107e-05,True,1.7808782654010705e-15,0,0.0079,
-NFrJFQijFE$_$1,resumed,0.3333333432674408,2,13,3,True,1.2161918162265843,0.3079603323694956,9.941441018200027e-05,True,1.942890293094024e-16,0,0.0053,
-NFrJFQijFE$_$2,resumed,0.0,1,15,5,True,1.7999900473907307,0.32371735112346484,9.99476503494431e-05,True,1.5265566588595902e-16,0,0.006,
-RfYyzHpjk4$_$11,resumed,2.0,2,12,4,True,2.209477800369505,0.32895975406893785,9.988865011531164e-05,True,2.8136113173432933e-15,0,0.0113,
-RfYyzHpjk4$_$2,resumed,0.3333333432674408,2,12,4,True,1.896455494764537,0.3638950933769425,9.982485596673335e-05,True,2.5309615514501616e-15,0,0.0068,
-RfYyzHpjk4$_$8,resumed,0.3333333432674408,2,11,4,True,1.7795274567180797,0.3250337116411248,9.962358352614067e-05,True,4.251807239619154e-15,0,0.0075,
-THoVjtIkeU$_$12,resumed,2.0,2,31,4,True,1.9174673396505117,0.26682758721348465,9.97614307191013e-05,True,1.625023765844628e-15,0,0.0076,
-THoVjtIkeU$_$2,resumed,1.3333333730697632,2,10,3,True,2.0030204854111204,0.33456632488432253,9.972707025090316e-05,True,2.1831516740597335e-15,0,0.009,
-THoVjtIkeU$_$6,resumed,2.6666667461395264,2,18,5,True,1.7758268650469409,0.3163981772015478,9.914529737097e-05,True,1.4467581997982328e-15,0,0.005,
-UUCSKoHeMA$_$0,resumed,0.0,1,17,4,True,2.392840907605533,0.29907958527429745,9.997839278306012e-05,True,1.971847502202429e-15,0,0.0079,
-UacrmKiTn4$_$10,resumed,-0.6666666865348816,0,16,4,True,1.9835812132691495,0.3011312811200555,9.98554851395243e-05,True,1.7919626627836357e-15,0,0.0068,
-UacrmKiTn4$_$4,resumed,-1.3333333730697632,0,11,4,True,2.686243734862922,0.33291313146578594,9.971816352130104e-05,True,2.4942609446830667e-15,0,0.0096,
-UuX1xuaiiE$_$0,resumed,2.6666667461395264,2,9,3,True,2.2211816742709605,0.32911035965342467,9.837637439781555e-05,True,2.51212375009676e-15,0,0.0052,
-UuX1xuaiiE$_$1,resumed,1.6666666269302368,2,22,5,True,1.5119277522214705,0.3019264178095365,9.988955477732708e-05,True,1.6653345369377348e-16,0,0.0076,
