2026-09-23 14:07:37,220 | INFO | MainThread | 模型求解开始: 样本=1, alignment_workers=2, overwrite=True
2026-09-23 14:07:37,286 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 1/8: objective=0.818212, delta=0.109445
2026-09-23 14:07:37,290 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 2/8: objective=0.779896, delta=0.023924
2026-09-23 14:07:37,293 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 3/8: objective=0.777773, delta=0.008312
2026-09-23 14:07:37,297 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 4/8: objective=0.777431, delta=0.003155
2026-09-23 14:07:37,300 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 5/8: objective=0.777343, delta=0.001494
2026-09-23 14:07:37,304 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 6/8: objective=0.777313, delta=0.000787
2026-09-23 14:07:37,308 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 7/8: objective=0.777302, delta=0.000427
2026-09-23 14:07:37,311 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 8/8: objective=0.777297, delta=0.000234
2026-09-23 14:07:37,322 | INFO | MainThread | [1/1] -3g5yACwYnA$_$13 completed: objective=0.777297, uncertainty=0.3726 (0.10s)
2026-09-23 14:07:37,404 | INFO | MainThread | 对齐完成: 样本=1, mean_uncertainty=0.372551
2026-09-23 14:08:31,726 | INFO | MainThread | 模型求解开始: 样本=1, alignment_workers=2, overwrite=True
2026-09-23 14:08:31,813 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 1/8: objective=0.820373, delta=0.109444
2026-09-23 14:08:31,838 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 2/8: objective=0.782873, delta=0.023798
2026-09-23 14:08:31,863 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 3/8: objective=0.781072, delta=0.008189
2026-09-23 14:08:31,890 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 4/8: objective=0.780874, delta=0.003159
2026-09-23 14:08:31,914 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 5/8: objective=0.780842, delta=0.001537
2026-09-23 14:08:31,938 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 6/8: objective=0.780826, delta=0.000831
2026-09-23 14:08:31,962 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 7/8: objective=0.780818, delta=0.000462
2026-09-23 14:08:31,986 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 8/8: objective=0.780813, delta=0.000259
2026-09-23 14:08:31,997 | INFO | MainThread | [1/1] -3g5yACwYnA$_$13 completed: objective=0.780813, uncertainty=0.3725 (0.27s)
2026-09-23 14:08:32,078 | INFO | MainThread | 对齐完成: 样本=1, mean_uncertainty=0.372545
2026-09-23 14:10:35,575 | INFO | MainThread | 模型求解开始: 样本=3, alignment_workers=2, overwrite=True
2026-09-23 14:10:35,769 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 1/8: objective=1.152681, delta=0.123423
2026-09-23 14:10:35,813 | INFO | p1-align_1 | -3g5yACwYnA$_$2 对齐迭代 1/8: objective=1.195834, delta=0.102951
2026-09-23 14:10:35,834 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 2/8: objective=1.115460, delta=0.007048
2026-09-23 14:10:35,887 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 3/8: objective=1.115708, delta=0.000812
2026-09-23 14:10:35,925 | INFO | p1-align_1 | -3g5yACwYnA$_$2 对齐迭代 2/8: objective=1.188425, delta=0.007410
2026-09-23 14:10:35,955 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 4/8: objective=1.115767, delta=0.000100
2026-09-23 14:10:35,969 | INFO | MainThread | [1/3] -3g5yACwYnA$_$13 completed: objective=1.115767, uncertainty=0.3134 (0.39s)
2026-09-23 14:10:36,112 | INFO | p1-align_1 | -3g5yACwYnA$_$2 对齐迭代 3/8: objective=1.188867, delta=0.003193
2026-09-23 14:10:36,184 | INFO | p1-align_1 | -3g5yACwYnA$_$2 对齐迭代 4/8: objective=1.188981, delta=0.001901
2026-09-23 14:10:36,200 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 1/8: objective=1.083599, delta=0.076438
2026-09-23 14:10:36,259 | INFO | p1-align_1 | -3g5yACwYnA$_$2 对齐迭代 5/8: objective=1.189032, delta=0.001128
2026-09-23 14:10:36,313 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 2/8: objective=1.062327, delta=0.005827
2026-09-23 14:10:36,348 | INFO | p1-align_1 | -3g5yACwYnA$_$2 对齐迭代 6/8: objective=1.189059, delta=0.000658
