2026-09-23 14:10:04,441 | INFO | MainThread | 步骤1/4 数据输入与特征提取
2026-09-23 14:10:04,461 | INFO | MainThread | 特征提取开始: 样本=3, workers=4, overwrite=True
2026-09-23 14:10:04,831 | INFO | MainThread | [1/3] -3g5yACwYnA$_$13 completed (0.37s)
2026-09-23 14:10:04,968 | INFO | MainThread | [2/3] -3g5yACwYnA$_$2 completed (0.50s)
2026-09-23 14:10:05,147 | INFO | MainThread | [3/3] -3g5yACwYnA$_$3 completed (0.68s)
2026-09-23 14:10:05,254 | INFO | MainThread | 步骤2/4 参数初始化: config_fingerprint=1e1497363478
2026-09-23 14:10:05,254 | INFO | MainThread | 步骤3/4 模型调用
2026-09-23 14:10:05,257 | INFO | MainThread | 模型求解开始: 样本=3, alignment_workers=2, overwrite=True
2026-09-23 14:10:05,440 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 1/8: objective=0.820373, delta=0.109444
2026-09-23 14:10:05,475 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 2/8: objective=0.782873, delta=0.023798
2026-09-23 14:10:05,495 | INFO | p1-align_1 | -3g5yACwYnA$_$2 对齐迭代 1/8: objective=0.856632, delta=0.101957
2026-09-23 14:10:05,518 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 3/8: objective=0.781072, delta=0.008189
2026-09-23 14:10:05,550 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 4/8: objective=0.780874, delta=0.003159
2026-09-23 14:10:05,588 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 5/8: objective=0.780842, delta=0.001537
2026-09-23 14:10:05,600 | INFO | p1-align_1 | -3g5yACwYnA$_$2 对齐迭代 2/8: objective=0.840956, delta=0.017497
2026-09-23 14:10:05,627 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 6/8: objective=0.780826, delta=0.000831
2026-09-23 14:10:05,658 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 7/8: objective=0.780818, delta=0.000462
2026-09-23 14:10:05,680 | INFO | p1-align_1 | -3g5yACwYnA$_$2 对齐迭代 3/8: objective=0.842090, delta=0.005616
2026-09-23 14:10:05,696 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 8/8: objective=0.780813, delta=0.000259
2026-09-23 14:10:05,709 | INFO | MainThread | [1/3] -3g5yACwYnA$_$13 completed: objective=0.780813, uncertainty=0.3725 (0.45s)
2026-09-23 14:10:05,834 | INFO | p1-align_1 | -3g5yACwYnA$_$2 对齐迭代 4/8: objective=0.842147, delta=0.002735
2026-09-23 14:10:05,893 | INFO | p1-align_1 | -3g5yACwYnA$_$2 对齐迭代 5/8: objective=0.842035, delta=0.001469
