pattern,position,missing_rate,accuracy,macro_f1,mae,pearson,selection_score,accuracy_drop,macro_f1_drop,mae_increase,pearson_drop
none,none,0.0,0.6263736263736264,0.6072038239096158,0.5941352866517103,0.6370915210939012,1.0957615233405895,0.0,0.0,0.0,0.0
text,begin,0.1,0.603021978021978,0.5873624018391496,0.606325298822792,0.6239249674055632,1.0597060445390147,0.02335164835164838,0.01984142207046624,0.012190012171081621,0.013166553688337967
text,begin,0.2,0.5975274725274725,0.5862023284606112,0.624012687004614,0.6034754426542449,1.0336745993637027,0.028846153846153855,0.021001495449004648,0.02987740035290365,0.033616078439656305
text,begin,0.3,0.5631868131868132,0.5569972769370025,0.6462835571063417,0.5861013876398358,0.9815277753002527,0.06318681318681318,0.050206546972613286,0.05214827045463133,0.050990133454065445
text,begin,0.4,0.5467032967032966,0.5437335629689944,0.6622428169427951,0.5782917468184752,0.9564646055517709,0.07967032967032972,0.06347026094062136,0.06810753029108474,0.05879977427542604
text,begin,0.48,0.5151098901098901,0.5164261798099562,0.6887688910893093,0.5445143428765569,0.8887482999141858,0.11126373626373631,0.0907776440996596,0.09463360443759894,0.09257717821734435
text,middle,0.1,0.614010989010989,0.5993670288595166,0.6035199075103175,0.6286500942635606,1.077137146245498,0.012362637362637319,0.007836795050099155,0.00938462085860714,0.00844142683034066
text,middle,0.2,0.592032967032967,0.5806415978948699,0.6294766379779992,0.5980007435560611,1.0212731819564311,0.03434065934065933,0.026562226014745893,0.035341351326288906,0.03909077753784007
text,middle,0.3,0.5947802197802198,0.5905503673009392,0.6335005627210754,0.6001091615147569,1.0322843881354273,0.03159340659340659,0.016653456608676565,0.03936527606936502,0.03698235957914431
text,middle,0.4,0.5576923076923077,0.559253718329867,0.6558998117311653,0.5827707711565043,0.9780495365535801,0.06868131868131866,0.04795010557974877,0.06176452507945496,0.054320749937396884
text,middle,0.48,0.5233516483516484,0.5267045674285494,0.6904551132462514,0.5495977318517086,0.9036885209686951,0.10302197802197799,0.08049925648106637,0.09631982659454108,0.08749378924219264
text,end,0.1,0.5851648351648352,0.5738085607384829,0.6193104470905062,0.5904612167584435,1.0094421657242998,0.04120879120879117,0.03339526317113295,0.025175160438795863,0.04663030433545767
text,end,0.2,0.570054945054945,0.5656553750166622,0.6293444747759597,0.5902558624428137,0.9985751187654859,0.05631868131868134,0.041548448892953616,0.035209188124249335,0.04683565865108752
text,end,0.3,0.5439560439560439,0.5428889611699801,0.6487721430948823,0.5783455343606947,0.9590414597569542,0.08241758241758246,0.06431486273963571,0.054636856443171955,0.05874598673320652
text,end,0.4,0.5192307692307693,0.5216369134443268,0.6751241732093219,0.5521621925299875,0.9050180626719839,0.1071428571428571,0.08556691046528897,0.0809888865576116,0.08492932856391366
text,end,0.48,0.5068681318681318,0.5117981433770907,0.6992867576914,0.5255133350644023,0.8624897890186429,0.11950549450549453,0.09540568053252507,0.10515147103968969,0.11157818602949887
