stage,epoch,lr,train_loss,train_classification,train_regression,train_correlation,train_coherence,train_uncertainty,train_expert_aux_classification,train_expert_aux_regression,train_router_prior,valid_accuracy,valid_macro_f1,valid_mae,valid_pearson,valid_selection_score,seconds,frozen_bottom_layers,train_token,train_cls,distillation_scale,text_path_frozen,train_supervised,train_distillation,train_kd_classification,train_kd_regression,train_kd_token,train_kd_cls,train_kd_feature,train_kd_relation,complete_accuracy,complete_macro_f1,complete_mae,complete_pearson,complete_selection_score,target30_accuracy,target30_macro_f1,target30_mae,target30_pearson,target30_selection_score,robust_selection_score
teacher,1,1.9659258262890683e-05,1.8168410877106895,0.9067150199077498,0.4853705432213528,0.4306419982876576,0.03307457593217177,0.3973621801328911,0.9496354490098818,0.5146696697658216,0.016844922906233812,0.6387362637362637,0.6146141494415868,0.566826070598736,0.6782278151130182,1.151135446904921,19.230401000007987,,,,,,,,,,,,,,,,,,,,,,,,
teacher,2,1.866025403784439e-05,1.4687054472070344,0.7584217732221308,0.3812518044256828,0.26993231328440387,0.04974005244095141,0.22704019094940314,0.787996263361313,0.4015857144980363,0.02964927711930703,0.5892857142857143,0.593649436723343,0.5765496319592265,0.6825958143534248,1.132107843086961,17.458739399997285,,,,,,,,,,,,,,,,,,,,,,,,
teacher,3,1.7071067811865477e-05,1.255113228106163,0.6608072632635144,0.31683715978558635,0.20813295497021206,0.05803695428644268,0.11466433043660544,0.6876861929473742,0.33855778912843115,0.03200170498761073,0.6181318681318682,0.606155842529738,0.5710844299634458,0.68324413476303,1.1466288698019065,17.27846669999417,,,,,,,,,,,,,,,,,,,,,,,,
teacher,4,1.5000000000000004e-05,1.0851207165650918,0.5663272267286207,0.28072577987758207,0.1681698611084844,0.07241360095500106,0.023395807244552588,0.595102363279168,0.304451128441683,0.03158654508666253,0.5906593406593407,0.5938555754928515,0.5752906640038498,0.6878637726090157,1.1378966821009047,17.205444199993508,,,,,,,,,,,,,,,,,,,,,,,,
teacher,5,1.258819045102521e-05,0.9143037111826346,0.4677985176234178,0.2450454213039976,0.14690591415888826,0.08099772009841154,-0.07264649671253184,0.5005173210946607,0.2711612961032021,0.036152373382847915,0.6002747252747253,0.5830139593580453,0.5853830319419913,0.6803151076036568,1.1169833089762042,18.423396400001366,,,,,,,,,,,,,,,,,,,,,,,,
teacher,6,1.0000000000000003e-05,0.7111833842707352,0.3448751692620801,0.21025869974368055,0.11764930419518914,0.10142708375630244,-0.16956298262156336,0.37355695203156536,0.23872922922314052,0.03312931325234158,0.6153846153846154,0.5981997761883909,0.609761503127859,0.67853185866027,1.1242912590666962,18.917936500001815,,,,,,,,,,,,,,,,,,,,,,,,
teacher,7,7.411809548974795e-06,0.5555767530286816,0.25648494615731104,0.18042141201735382,0.09518690176413093,0.11404116005754807,-0.2929946818244709,0.27818315749017286,0.21252528641005636,0.029080980785295998,0.5892857142857143,0.5693991398646007,0.6031524596894466,0.6673761119156542,1.0859871368578933,19.232290999992983,,,,,,,,,,,,,,,,,,,,,,,,
teacher,8,5.000000000000004e-06,0.46165120811529564,0.19664106819726213,0.16756103145824353,0.08666457550626405,0.12578577999497803,-0.346093424329039,0.2150555960046993,0.19710366128825804,0.030256671385026315,0.5837912087912088,0.5701715468796213,0.573341953002075,0.677721104722633,1.1045571633517357,21.03353220000281,,,,,,,,,,,,,,,,,,,,,,,,
teacher,9,2.9289321881345265e-06,0.3656064901553409,0.1451234367190742,0.14732228641883588,0.07001926361674994,0.13329033448662556,-0.4429105909829828,0.15668637368460775,0.18121265058576222,0.03239837269180677,0.6016483516483516,0.5726683138475575,0.5808988524684657,0.6701113226786982,1.0975549234091393,17.08584699999483,,,,,,,,,,,,,,,,,,,,,,,,
text_distill,1,2.9265847744427305e-05,3.398952804820638,1.0485974462099479,0.6040172325053685,,,,,,,0.5618131868131868,0.45096140646809274,0.7077242692236553,0.4624196878549215,0.7364500270171005,10.217723699999624,2.0,1.4255427029770864,0.9915163156012414,,,,,,,,,,,,,,,,,,,,,
