split,sample_id,content_steps,truncation_flag,tokenizer_exact_match,token_mapping_confidence,text_observed_steps,text_natural_zero_steps,text_failure_steps,text_candidate_steps,audio_observed_steps,audio_natural_zero_steps,audio_failure_steps,audio_candidate_steps,vision_observed_steps,vision_natural_zero_steps,vision_failure_steps,vision_candidate_steps,audio_winsorized_ratio,vision_winsorized_ratio
attachment4,01,22,False,True,1.0,22,0,0,22,22,0,0,22,22,0,0,22,0.009655932528272954,0.01621187800963082
attachment4,02,19,False,True,1.0,19,0,0,19,19,0,0,19,19,0,0,19,0.009655932528272954,0.01621187800963082
attachment4,03,33,False,True,1.0,33,0,0,33,33,0,0,33,33,0,0,33,0.009655932528272954,0.01621187800963082
attachment4,04,26,False,True,1.0,26,0,0,26,26,0,0,26,26,0,0,26,0.009655932528272954,0.01621187800963082
attachment4,05,15,False,True,1.0,15,0,0,15,15,0,0,15,15,0,0,15,0.009655932528272954,0.01621187800963082
attachment4,06,35,False,True,1.0,35,0,0,35,35,0,0,35,35,0,0,35,0.009655932528272954,0.01621187800963082
attachment4,07,48,True,True,1.0,48,0,0,48,48,0,0,48,48,0,0,48,0.009655932528272954,0.01621187800963082
attachment4,08,11,False,True,1.0,11,0,0,11,11,0,0,11,11,0,0,11,0.009655932528272954,0.01621187800963082
attachment4,09,18,False,True,1.0,18,0,0,18,18,0,0,18,18,0,0,18,0.009655932528272954,0.01621187800963082
attachment4,10,30,False,True,1.0,30,0,0,30,30,0,0,30,30,0,0,30,0.009655932528272954,0.01621187800963082
attachment4,11,14,False,True,1.0,14,0,0,14,14,0,0,14,14,0,0,14,0.009655932528272954,0.01621187800963082
attachment4,12,42,False,True,1.0,42,0,0,42,42,0,0,42,42,0,0,42,0.009655932528272954,0.01621187800963082
attachment4,13,30,False,True,1.0,30,0,0,30,30,0,0,30,0,30,30,0,0.009655932528272954,0.01621187800963082
attachment4,14,35,False,True,1.0,35,0,0,35,35,0,0,35,35,0,0,35,0.009655932528272954,0.01621187800963082
attachment4,15,21,False,True,1.0,21,0,0,21,21,0,0,21,21,0,0,21,0.009655932528272954,0.01621187800963082
attachment4,16,11,False,True,1.0,11,0,0,11,11,0,0,11,11,0,0,11,0.009655932528272954,0.01621187800963082
attachment4,17,24,False,True,1.0,24,0,0,24,24,0,0,24,24,0,0,24,0.009655932528272954,0.01621187800963082
attachment4,18,48,True,True,1.0,48,0,0,48,48,0,0,48,48,0,0,48,0.009655932528272954,0.01621187800963082
attachment4,19,39,False,True,1.0,39,0,0,39,39,0,0,39,39,0,0,39,0.009655932528272954,0.01621187800963082
attachment4,20,43,False,True,1.0,43,0,0,43,43,0,0,43,43,0,0,43,0.009655932528272954,0.01621187800963082
