split,target,category,count,ratio
train,polarity,0,967,0.2848306332842415
train,polarity,1,758,0.2232695139911635
train,polarity,2,1670,0.49189985272459497
train,intensity_bin,0,112,0.032989690721649485
train,intensity_bin,1,322,0.09484536082474226
train,intensity_bin,2,533,0.15699558173784978
train,intensity_bin,3,758,0.2232695139911635
train,intensity_bin,4,1089,0.3207658321060383
train,intensity_bin,5,473,0.13932253313696613
train,intensity_bin,6,108,0.03181148748159057
valid,polarity,0,206,0.28296703296703296
valid,polarity,1,184,0.25274725274725274
valid,polarity,2,338,0.4642857142857143
valid,intensity_bin,0,18,0.024725274725274724
valid,intensity_bin,1,67,0.09203296703296704
valid,intensity_bin,2,121,0.1662087912087912
valid,intensity_bin,3,184,0.25274725274725274
valid,intensity_bin,4,224,0.3076923076923077
valid,intensity_bin,5,96,0.13186813186813187
valid,intensity_bin,6,18,0.024725274725274724
test,polarity,0,207,0.28473177441540576
test,polarity,1,158,0.2173314993122421
test,polarity,2,362,0.49793672627235214
test,intensity_bin,0,33,0.0453920220082531
test,intensity_bin,1,76,0.10453920220082531
test,intensity_bin,2,98,0.13480055020632736
test,intensity_bin,3,158,0.2173314993122421
test,intensity_bin,4,234,0.3218707015130674
test,intensity_bin,5,112,0.15405777166437415
test,intensity_bin,6,16,0.02200825309491059
