split,sample_id,modality,observed_steps,outside_train_quantile_ratio,normalized_clip_ratio
attachment4,01,audio,22,0.006142506142506142,0.0
attachment4,02,audio,19,0.0007112375533428165,0.00995732574679943
attachment4,03,audio,33,0.0045045045045045045,0.0
attachment4,04,audio,26,0.02286902286902287,0.0
attachment4,05,audio,15,0.0009009009009009009,0.0
attachment4,06,audio,35,0.032046332046332046,0.006563706563706564
attachment4,07,audio,48,0.0033783783783783786,0.0
attachment4,08,audio,11,0.002457002457002457,0.0
attachment4,09,audio,18,0.010510510510510511,0.0
attachment4,10,audio,30,0.013063063063063063,0.0
attachment4,11,audio,14,0.010617760617760617,0.011583011583011582
attachment4,12,audio,42,0.004182754182754183,0.012548262548262547
attachment4,13,audio,30,0.0076576576576576575,0.002702702702702703
attachment4,14,audio,35,0.003861003861003861,0.0
attachment4,15,audio,21,0.013513513513513514,0.0
attachment4,16,audio,11,0.006142506142506142,0.0
attachment4,17,audio,24,0.007882882882882882,0.015765765765765764
attachment4,18,audio,48,0.0033783783783783786,0.0
attachment4,19,audio,39,0.009355509355509356,0.0
attachment4,20,audio,43,0.020741671904462602,0.0
attachment4,01,vision,22,0.0,0.0
attachment4,02,vision,19,0.0,0.0
attachment4,03,vision,33,0.0,0.0
attachment4,04,vision,26,0.00989010989010989,0.0
attachment4,05,vision,15,0.0,0.0
attachment4,06,vision,35,0.0,0.0
attachment4,07,vision,48,0.014285714285714285,0.0
attachment4,08,vision,11,0.0,0.0
attachment4,09,vision,18,0.0015873015873015873,0.0
attachment4,10,vision,30,0.0009523809523809524,0.0
attachment4,11,vision,14,0.0020408163265306124,0.0
attachment4,12,vision,42,0.004081632653061225,0.0
attachment4,13,vision,0,0.0,0.0
attachment4,14,vision,35,0.1126530612244898,0.0
attachment4,15,vision,21,0.02312925170068027,0.0
attachment4,16,vision,11,0.005194805194805195,0.0
attachment4,17,vision,24,0.05238095238095238,0.0
attachment4,18,vision,48,0.0,0.0
attachment4,19,vision,39,0.04322344322344322,0.0
attachment4,20,vision,43,0.000664451827242525,0.0
