sample_id,feature_files_complete,result_files_complete,mapping_audit_passed,padding_audit_passed,error_count,errors
-3g5yACwYnA$_$13,True,True,True,True,0,
-3g5yACwYnA$_$2,True,True,True,True,0,
-3g5yACwYnA$_$3,True,True,True,True,0,
-3g5yACwYnA$_$9,True,True,True,True,0,
-3nNcZdcdvU$_$5,True,True,True,True,0,
-571d8cVauQ$_$0,True,True,True,True,0,
-571d8cVauQ$_$5,True,True,True,True,0,
-6rXp3zJ3kc$_$8,True,True,True,True,0,
-9y-fZ3swSY$_$0,True,True,True,True,0,
-9y-fZ3swSY$_$4,True,True,True,True,0,
-9y-fZ3swSY$_$8,True,True,True,True,0,
-AUZQgSxyPQ$_$2,True,True,True,True,0,
-HeZS2-Prhc$_$2,True,True,True,True,0,
-HwX2H8Z4hY$_$2,True,True,True,True,0,
-HwX2H8Z4hY$_$5,True,True,True,True,0,
-HwX2H8Z4hY$_$6,True,True,True,True,0,
-HwX2H8Z4hY$_$9,True,True,True,True,0,
-I_e4mIh0yE$_$1,True,True,True,True,0,
-I_e4mIh0yE$_$3,True,True,True,True,0,
-MeTTeMJBNc$_$0,True,True,True,True,0,
-MeTTeMJBNc$_$13,True,True,True,True,0,
-MeTTeMJBNc$_$7,True,True,True,True,0,
-NFrJFQijFE$_$1,True,True,True,True,0,
-NFrJFQijFE$_$2,True,True,True,True,0,
-RfYyzHpjk4$_$11,True,True,True,True,0,
-RfYyzHpjk4$_$2,True,True,True,True,0,
-RfYyzHpjk4$_$8,True,True,True,True,0,
-THoVjtIkeU$_$12,True,True,True,True,0,
-THoVjtIkeU$_$2,True,True,True,True,0,
-THoVjtIkeU$_$6,True,True,True,True,0,
-UUCSKoHeMA$_$0,True,True,True,True,0,
-UacrmKiTn4$_$10,True,True,True,True,0,
-UacrmKiTn4$_$4,True,True,True,True,0,
-UuX1xuaiiE$_$0,True,True,True,True,0,
-UuX1xuaiiE$_$1,True,True,True,True,0,
-UuX1xuaiiE$_$3,True,True,True,True,0,
-UuX1xuaiiE$_$6,True,True,True,True,0,
-a55Q6RWvTA$_$3,True,True,True,True,0,
-aNfi7CP8vM$_$7,True,True,True,True,0,
-aqamKhZ1Ec$_$0,True,True,True,True,0,
-dxfTGcXJoc$_$0,True,True,True,True,0,
-dxfTGcXJoc$_$1,True,True,True,True,0,
-dxfTGcXJoc$_$2,True,True,True,True,0,
-dxfTGcXJoc$_$6,True,True,True,True,0,
-egA8-b7-3M$_$1,True,True,True,True,0,
-egA8-b7-3M$_$13,True,True,True,True,0,
-egA8-b7-3M$_$16,True,True,True,True,0,
-egA8-b7-3M$_$17,True,True,True,True,0,
-egA8-b7-3M$_$18,True,True,True,True,0,
-egA8-b7-3M$_$20,True,True,True,True,0,
-egA8-b7-3M$_$26,True,True,True,True,0,
-egA8-b7-3M$_$6,True,True,True,True,0,
-egA8-b7-3M$_$9,True,True,True,True,0,
-hnBHBN8p5A$_$6,True,True,True,True,0,
-hnBHBN8p5A$_$7,True,True,True,True,0,
-iRBcNs9oI8$_$3,True,True,True,True,0,
-iRBcNs9oI8$_$6,True,True,True,True,0,
-iRBcNs9oI8$_$7,True,True,True,True,0,
-iRBcNs9oI8$_$8,True,True,True,True,0,
-iRBcNs9oI8$_$9,True,True,True,True,0,
-lzEya4AM_4$_$5,True,True,True,True,0,
-lzEya4AM_4$_$6,True,True,True,True,0,
-mJ2ud6oKI8$_$1,True,True,True,True,0,
-mJ2ud6oKI8$_$2,True,True,True,True,0,
-mJ2ud6oKI8$_$6,True,True,True,True,0,
-mJ2ud6oKI8$_$8,True,True,True,True,0,
-mJ2ud6oKI8$_$9,True,True,True,True,0,
-mqbVkbCndg$_$0,True,True,True,True,0,
-qDkUB0GgYY$_$6,True,True,True,True,0,
-ri04Z7vwnc$_$0,True,True,True,True,0,
-ri04Z7vwnc$_$2,True,True,True,True,0,
-ri04Z7vwnc$_$5,True,True,True,True,0,
-s9qJ7ATP7w$_$0,True,True,True,True,0,
-s9qJ7ATP7w$_$1,True,True,True,True,0,
-s9qJ7ATP7w$_$4,True,True,True,True,0,
-s9qJ7ATP7w$_$5,True,True,True,True,0,
-s9qJ7ATP7w$_$6,True,True,True,True,0,
-s9qJ7ATP7w$_$7,True,True,True,True,0,
-s9qJ7ATP7w$_$8,True,True,True,True,0,
-t217m2on-s$_$2,True,True,True,True,0,
-t217m2on-s$_$7,True,True,True,True,0,
-tANM6ETl_M$_$3,True,True,True,True,0,
-tPCytz4rww$_$10,True,True,True,True,0,
-tPCytz4rww$_$11,True,True,True,True,0,
-tPCytz4rww$_$12,True,True,True,True,0,
-tPCytz4rww$_$16,True,True,True,True,0,
-tPCytz4rww$_$18,True,True,True,True,0,
-uywlfIYOS8$_$4,True,True,True,True,0,
-vxjVxOeScU$_$4,True,True,True,True,0,
-wMB_hJL-3o$_$7,True,True,True,True,0,
-wny0OAz3g8$_$0,True,True,True,True,0,
-wny0OAz3g8$_$1,True,True,True,True,0,
-wny0OAz3g8$_$2,True,True,True,True,0,
-wny0OAz3g8$_$3,True,True,True,True,0,
-wny0OAz3g8$_$5,True,True,True,True,0,
-wny0OAz3g8$_$7,True,True,True,True,0,
-wny0OAz3g8$_$9,True,True,True,True,0,
-yRb-Jum7EQ$_$1,True,True,True,True,0,
-yRb-Jum7EQ$_$5,True,True,True,True,0,
-yRb-Jum7EQ$_$6,True,True,True,True,0,
