样本编号,模态类型,原始有效时长,文本特征维度,音频特征维度,视频特征维度,对齐粒度,原始有效步数,对齐后有效步数
-3g5yACwYnA$_$13,文本/音频/视频,5.5,768,768,871,0.5,16/269/28,12
-3g5yACwYnA$_$2,文本/音频/视频,9.366667,768,768,871,0.492982,15/300/47,20
-3g5yACwYnA$_$3,文本/音频/视频,14.366667,768,768,871,0.495402,32/300/72,30
-3g5yACwYnA$_$9,文本/音频/视频,8.8,768,768,871,0.488889,28/300/44,19
-3nNcZdcdvU$_$5,文本/音频/视频,7.866667,768,768,871,0.491667,19/300/40,17
-571d8cVauQ$_$0,文本/音频/视频,5.166667,768,768,871,0.469697,14/249/26,12
-571d8cVauQ$_$5,文本/音频/视频,15.266666,768,768,871,0.492473,49/300/77,32
-6rXp3zJ3kc$_$8,文本/音频/视频,12.8,768,768,871,0.492308,35/300/64,27
-9y-fZ3swSY$_$0,文本/音频/视频,6.9,768,768,871,0.492857,26/300/35,15
-9y-fZ3swSY$_$4,文本/音频/视频,2.8,768,768,871,0.466667,9/132/14,7
-9y-fZ3swSY$_$8,文本/音频/视频,4.966667,768,768,871,0.496667,12/245/25,11
-AUZQgSxyPQ$_$2,文本/音频/视频,22.5,768,768,871,0.5,46/300/113,46
-HeZS2-Prhc$_$2,文本/音频/视频,8.233334,768,768,871,0.484314,17/300/42,18
-HwX2H8Z4hY$_$2,文本/音频/视频,3.966667,768,768,871,0.495833,12/195/20,9
-HwX2H8Z4hY$_$5,文本/音频/视频,5.633333,768,768,871,0.469444,10/276/29,13
-HwX2H8Z4hY$_$6,文本/音频/视频,3.333333,768,768,871,0.47619,8/162/17,8
-HwX2H8Z4hY$_$9,文本/音频/视频,7.733333,768,768,871,0.483333,22/300/39,17
-I_e4mIh0yE$_$1,文本/音频/视频,7.6,768,768,871,0.475,19/300/38,17
-I_e4mIh0yE$_$3,文本/音频/视频,9.133333,768,768,871,0.480702,25/300/46,20
-MeTTeMJBNc$_$0,文本/音频/视频,9.333333,768,768,871,0.491228,24/300/47,20
-MeTTeMJBNc$_$13,文本/音频/视频,5.4,768,768,871,0.490909,16/262/27,12
-MeTTeMJBNc$_$7,文本/音频/视频,10.5,768,768,871,0.5,33/300/53,22
-NFrJFQijFE$_$1,文本/音频/视频,5.72,768,768,871,0.476667,16/282/29,13
-NFrJFQijFE$_$2,文本/音频/视频,6.84,768,768,871,0.488571,18/300/35,15
-RfYyzHpjk4$_$11,文本/音频/视频,5.233333,768,768,871,0.475758,19/253/27,12
-RfYyzHpjk4$_$2,文本/音频/视频,5.5,768,768,871,0.5,27/269/28,12
-RfYyzHpjk4$_$8,文本/音频/视频,4.566667,768,768,871,0.456667,19/226/23,11
-THoVjtIkeU$_$12,文本/音频/视频,14.866667,768,768,871,0.495556,42/300/75,31
-THoVjtIkeU$_$2,文本/音频/视频,4.266667,768,768,871,0.474074,11/211/22,10
-THoVjtIkeU$_$6,文本/音频/视频,8.066667,768,768,871,0.47451,32/300/41,18
-UUCSKoHeMA$_$0,文本/音频/视频,7.866667,768,768,871,0.491667,22/300/40,17
-UacrmKiTn4$_$10,文本/音频/视频,7.333333,768,768,871,0.488889,20/300/37,16
-UacrmKiTn4$_$4,文本/音频/视频,4.733333,768,768,871,0.473333,15/233/24,11
-UuX1xuaiiE$_$0,文本/音频/视频,3.7,768,768,871,0.4625,10/178/19,9
-UuX1xuaiiE$_$1,文本/音频/视频,10.333333,768,768,871,0.492063,31/300/52,22
-UuX1xuaiiE$_$3,文本/音频/视频,4.1,768,768,871,0.455556,9/201/21,10
-UuX1xuaiiE$_$6,文本/音频/视频,8.1,768,768,871,0.476471,23/300/41,18
-a55Q6RWvTA$_$3,文本/音频/视频,22.133333,768,768,871,0.491852,77/300/111,46
-aNfi7CP8vM$_$7,文本/音频/视频,8.666667,768,768,871,0.481481,21/300/44,19
-aqamKhZ1Ec$_$0,文本/音频/视频,11.0,768,768,871,0.5,16/300/55,23
-dxfTGcXJoc$_$0,文本/音频/视频,20.533333,768,768,871,0.488889,49/300/103,43
-dxfTGcXJoc$_$1,文本/音频/视频,16.133333,768,768,871,0.488889,40/300/81,34
-dxfTGcXJoc$_$2,文本/音频/视频,16.666666,768,768,871,0.490196,39/300/84,35
-dxfTGcXJoc$_$6,文本/音频/视频,12.733334,768,768,871,0.489744,30/300/64,27
-egA8-b7-3M$_$1,文本/音频/视频,10.233334,768,768,871,0.487302,22/300/52,22
-egA8-b7-3M$_$13,文本/音频/视频,4.166667,768,768,871,0.462963,14/200/21,10
-egA8-b7-3M$_$16,文本/音频/视频,5.533333,768,768,871,0.461111,13/273/28,13
-egA8-b7-3M$_$17,文本/音频/视频,7.266667,768,768,871,0.484444,19/300/37,16
-egA8-b7-3M$_$18,文本/音频/视频,8.366667,768,768,871,0.492157,23/300/42,18
-egA8-b7-3M$_$20,文本/音频/视频,6.633333,768,768,871,0.47381,22/300/34,15
-egA8-b7-3M$_$26,文本/音频/视频,6.0,768,768,871,0.5,16/295/30,13
-egA8-b7-3M$_$6,文本/音频/视频,6.233333,768,768,871,0.479487,13/300/32,14
-egA8-b7-3M$_$9,文本/音频/视频,5.066667,768,768,871,0.460606,12/246/26,12
-hnBHBN8p5A$_$6,文本/音频/视频,6.381378,768,768,871,0.490875,14/300/32,14
-hnBHBN8p5A$_$7,文本/音频/视频,7.340667,768,768,871,0.489378,15/300/37,16
-iRBcNs9oI8$_$3,文本/音频/视频,5.6056,768,768,871,0.467133,9/276/29,13
-iRBcNs9oI8$_$6,文本/音频/视频,2.869533,768,768,871,0.478256,5/140/15,7
-iRBcNs9oI8$_$7,文本/音频/视频,4.070734,768,768,871,0.452304,13/200/21,10
-iRBcNs9oI8$_$8,文本/音频/视频,8.074734,768,768,871,0.474984,24/300/41,18
-iRBcNs9oI8$_$9,文本/音频/视频,3.4034,768,768,871,0.4862,5/168/18,8
